Frame Number,Sharpness Score
150,19.15
151,20.44
152,18.88
153,18.83
154,16.28
155,16.09
156,14.52
157,15.53
158,14.11
159,15.31
160,14.26
161,15.29
162,14.03
163,14.85
164,13.72
165,14.70
166,13.18
167,14.49
168,13.38
169,14.64
170,14.98
171,17.24
172,16.06
173,17.83
174,18.51
175,17.14
176,17.66
177,16.61
178,17.07
179,15.70
180,14.86
181,12.04
182,12.15
183,10.27
184,10.72
185,9.60
186,9.93
187,9.14
188,9.93
189,9.64
190,9.73
191,10.68
192,12.25
193,9.66
194,10.22
195,15.68
196,10.21
197,9.34
198,12.33
199,8.76
200,9.70
201,13.78
202,10.03
203,10.97
204,11.68
205,13.32
206,13.86
207,14.45
208,13.94
209,14.51
210,13.93
211,14.19
212,13.49
213,13.67
214,12.66
215,12.76
216,12.00
217,13.46
218,13.13
219,13.87
220,13.13
221,13.90
222,13.04
223,13.38
224,12.14
225,12.51
226,11.26
227,11.40
228,10.17
229,10.59
230,9.59
231,10.10
232,9.69
233,9.28
234,9.55
235,9.11
236,9.36
237,8.80
238,9.49
239,8.92
240,9.52
241,9.33
242,10.22
243,9.84
244,10.84
245,11.12
246,12.27
247,13.21
