Frame Number,Sharpness Score
93,709.45
94,711.83
95,723.40
96,723.00
97,721.56
98,732.37
99,737.54
100,732.55
101,739.85
102,739.65
103,737.86
104,739.64
105,740.63
106,740.63
107,883.58
108,885.26
109,883.16
110,883.68
111,895.74
112,931.89
113,953.01
114,954.38
115,952.42
116,954.87
117,953.03
118,955.23
119,955.16
120,955.15
121,950.70
122,954.12
123,951.22
124,954.09
125,952.57
126,952.90
127,949.14
128,953.14
129,950.81
130,950.81
131,951.68
132,951.06
133,949.30
134,947.07
135,951.00
136,948.80
137,952.79
138,951.80
139,953.85
140,950.13
141,952.11
142,948.43
143,950.81
144,950.85
145,947.32
146,951.87
147,947.96
148,950.47
149,949.21
150,949.27
151,948.98
152,947.29
153,952.99
154,947.91
155,953.55
156,954.11
157,950.96
158,955.71
159,954.39
160,953.55
